iter	Passed	Remaining
0	459	229439
1	624	155589
2	939	155698
3	1327	164656
4	1824	180621
5	2168	178563
6	2473	174205
7	2752	169277
8	2892	157815
9	3063	150116
10	3412	151701
11	3752	152593
12	4086	153068
13	4402	152833
14	4737	153181
15	5013	151671
16	5337	151652
17	5621	150528
18	5955	150759
19	6288	150915
20	6590	150335
21	6954	151092
22	7366	152781
23	7750	153721
24	8059	153135
25	8331	151884
26	8740	153125
27	8897	149993
28	9201	149440
29	9550	149626
30	9897	149742
31	10054	147048
32	10369	146746
33	10702	146691
34	10990	146017
35	11279	145378
36	11605	145228
37	11936	145118
38	12120	143273
39	12411	142728
40	12760	142860
41	12906	140746
42	13188	140164
43	13477	139671
44	13780	139337
45	14078	138950
46	14350	138313
47	14804	139404
48	15117	139145
49	15269	137429
50	15606	137394
51	15897	136961
52	16052	135389
53	16400	135455
54	16735	135406
55	16867	133735
56	17205	133722
57	17468	133125
58	17815	133165
59	18153	133124
60	18465	132887
61	18611	131483
62	18884	130993
63	19232	131022
64	19539	130762
65	19889	130787
66	20234	130769
67	20541	130499
68	20911	130622
69	21214	130315
70	21553	130230
71	21694	128962
72	21932	128289
73	22209	127852
74	22575	127928
75	22899	127753
76	23213	127522
77	23498	127131
78	23782	126739
79	24097	126510
80	24359	126008
81	24672	125769
82	24984	125526
83	25237	124985
84	25528	124636
85	25879	124584
86	26169	124227
87	26431	123746
88	26764	123595
89	27035	123162
90	27329	122833
91	27650	122624
92	28066	122830
93	28329	122360
94	28663	122197
95	28984	121975
96	29277	121637
97	29562	121267
98	29830	120828
99	30136	120546
100	30506	120517
101	30649	119591
102	31035	119622
103	31353	119384
104	31700	119253
105	31992	118913
106	32305	118655
107	32594	118304
108	33032	118491
109	33345	118225
110	33675	118014
111	33857	117291
112	34194	117108
113	34544	116968
114	34806	116525
115	35082	116134
116	35431	115985
117	35766	115787
118	36053	115432
119	36395	115253
120	36737	115071
121	37122	115020
122	37433	114735
123	37738	114434
124	38020	114060
125	38183	113338
126	38505	113090
127	38890	113026
128	39192	112715
129	39507	112444
130	39838	112218
131	40119	111848
132	40416	111525
133	40738	111272
134	41061	111017
135	41373	110734
136	41552	110097
137	41873	109842
138	42210	109625
139	42504	109296
140	42774	108908
141	43069	108583
142	43427	108417
143	43744	108145
144	44080	107920
145	44386	107620
146	44796	107572
147	45101	107268
148	45245	106586
149	45381	105890
150	45573	105331
151	45876	105034
152	46159	104687
153	46488	104448
154	46815	104202
155	47136	103942
156	47488	103749
157	47818	103506
158	48138	103240
159	48427	102908
160	48750	102647
161	49097	102437
162	49343	102017
163	49655	101732
164	49974	101462
165	50287	101179
166	50545	100788
167	50913	100614
168	51022	99932
169	51352	99684
170	51677	99427
171	51979	99124
172	52302	98860
173	52606	98561
174	52762	97987
175	53069	97695
176	53328	97316
177	53644	97043
178	53942	96734
179	54311	96552
180	54677	96365
181	54929	95976
182	55189	95601
183	55446	95223
184	55753	94932
185	56064	94646
186	56382	94372
187	56513	93787
188	56841	93532
189	57099	93161
190	57437	92922
191	57661	92498
192	57969	92211
193	58217	91827
194	58572	91613
195	58835	91255
196	59082	90873
197	59206	90304
198	59557	90083
199	59770	89655
200	60046	89323
201	60400	89105
202	60698	88805
203	61043	88573
204	61369	88311
205	61642	87975
206	61903	87621
207	62186	87300
208	62508	87033
209	62790	86710
210	63134	86473
211	63383	86105
212	63716	85853
213	64037	85583
214	64412	85384
215	64540	84858
216	64883	84617
217	65131	84252
218	65447	83976
219	65734	83661
220	66124	83478
221	66357	83095
222	66691	82840
223	67008	82563
224	67385	82360
225	67700	82079
226	67835	81581
227	67944	81056
228	68088	80575
229	68404	80301
230	68798	80115
231	69053	79768
232	69379	79503
233	69699	79230
234	69998	78934
235	70270	78607
236	70552	78292
237	70891	78039
238	71039	77578
239	71290	77231
240	71591	76938
241	71936	76692
242	72182	76341
243	72519	76085
244	72867	75841
245	73139	75518
246	73405	75188
247	73706	74895
248	73971	74566
249	74249	74249
250	74558	73964
251	74847	73659
252	75177	73394
253	75478	73101
254	75845	72870
255	76026	72462
256	76346	72187
257	76701	71944
258	77018	71665
259	77133	71199
260	77455	70926
261	77765	70641
262	77871	70173
263	78214	69919
264	78504	69617
265	78791	69312
266	78930	68879
267	79245	68600
268	79536	68301
269	79874	68041
270	80160	67737
271	80509	67486
272	80810	67193
273	81082	66878
274	81372	66577
275	81767	66362
276	82036	66043
277	82410	65809
278	82759	65554
279	83057	65259
280	83367	64973
281	83708	64711
282	84064	64459
283	84441	64223
284	84790	63965
285	85145	63710
286	85522	63471
287	85891	63225
288	86181	62921
289	86320	62507
290	86631	62219
291	86991	61966
292	87228	61625
293	87577	61363
294	87895	61079
295	88179	60772
296	88528	60509
297	88873	60242
298	89010	59836
299	89311	59540
300	89634	59260
301	89939	58967
302	90264	58686
303	90594	58409
304	90961	58155
305	91083	57746
306	91345	57425
307	91651	57133
308	92027	56884
309	92316	56580
310	92661	56312
311	92978	56025
312	93351	55772
313	93714	55512
314	94031	55224
315	94415	54976
316	94765	54707
317	95032	54389
318	95386	54122
319	95773	53872
320	96124	53602
321	96424	53302
322	96710	52996
323	96945	52661
324	97225	52352
325	97568	52076
326	97696	51686
327	97991	51386
328	98107	50992
329	98406	50694
330	98761	50424
331	99095	50144
332	99209	49753
333	99522	49463
334	99822	49166
335	100115	48865
336	100480	48600
337	100806	48315
338	101069	48000
339	101336	47687
340	101592	47369
341	101889	47071
342	102277	46814
343	102598	46527
344	102963	46258
345	103398	46021
346	103642	45698
347	103960	45408
348	104289	45122
349	104443	44761
350	104610	44407
351	104897	44104
352	105259	43833
353	105586	43547
354	105964	43281
355	106263	42983
356	106557	42682
357	106835	42376
358	107137	42079
359	107464	41791
360	107773	41497
361	108067	41196
362	108201	40836
363	108589	40571
364	108926	40288
365	109260	40002
366	109577	39710
367	109793	39382
368	110112	39091
369	110405	38791
370	110683	38485
371	110928	38168
372	111084	37822
373	111432	37541
374	111811	37270
375	112182	36996
376	112525	36712
377	112881	36432
378	113227	36149
379	113663	35893
380	113969	35596
381	114306	35309
382	114607	35010
383	114926	34717
384	115168	34401
385	115501	34111
386	115792	33810
387	116115	33517
388	116455	33230
389	116797	32942
390	117162	32661
391	117533	32381
392	117824	32079
393	118122	31779
394	118389	31470
395	118592	31145
396	118888	30845
397	119192	30546
398	119538	30259
399	119812	29953
400	119919	29606
401	120244	29313
402	120633	29035
403	120932	28736
404	121188	28426
405	121308	28086
406	121628	27792
407	121944	27497
408	122215	27192
409	122543	26899
410	122841	26600
411	123152	26304
412	123403	25995
413	123693	25694
414	123859	25368
415	124017	25042
416	124307	24742
417	124581	24439
418	124899	24145
419	125234	23854
420	125567	23562
421	125903	23271
422	126325	22995
423	126705	22711
424	127085	22426
425	127402	22130
426	127744	21839
427	128078	21545
428	128398	21250
429	128701	20951
430	129017	20654
431	129402	20368
432	129669	20064
433	129926	19758
434	130062	19434
435	130198	19111
436	130471	18809
437	130768	18510
438	130913	18190
439	131187	17889
440	131544	17598
441	131845	17300
442	132183	17007
443	132348	16692
444	132698	16400
445	133020	16105
446	133316	15807
447	133604	15507
448	133769	15194
449	134216	14912
450	134371	14599
451	134564	14290
452	134872	13993
453	135176	13696
454	135429	13394
455	135730	13096
456	135930	12789
457	136268	12496
458	136537	12196
459	136840	11899
460	137147	11602
461	137486	11308
462	137805	11012
463	138233	10725
464	138574	10430
465	138961	10138
466	139179	9834
467	139515	9539
468	139848	9243
469	140156	8946
470	140583	8655
471	140870	8356
472	141138	8056
473	141472	7760
474	141809	7463
475	142216	7170
476	142475	6869
477	142753	6570
478	143030	6270
479	143319	5971
480	143630	5673
481	143960	5376
482	144258	5077
483	144539	4778
484	144926	4482
485	145204	4182
486	145515	3884
487	145798	3585
488	146029	3284
489	146404	2987
490	146786	2690
491	146921	2388
492	147152	2089
493	147478	1791
494	147782	1492
495	148117	1194
496	148442	896
497	148756	597
498	149030	298
499	149340	0
